id;inseminasi_id;sem_code;batch;ib_hasil;tgl_pkb
1;1;30569;HH 56;1;2010-07-23
2;2;30569;HH 56;1;2010-07-25
3;3;30569;HH 56;1;2010-07-26
4;4;30569;HH 56;1;2010-07-26
5;5;30569;HH 56;1;2010-07-26
6;6;30569;HH 56;1;2010-07-26
7;7;30154;D 005;1;2010-08-25
8;8;30154;D 005;1;2010-08-25
9;9;30152;HH032;1;2010-11-26
10;10;30152;HH032;0;2010-11-26
11;11;30152;HH032;0;2010-11-26
12;12;30676;H018;1;2010-11-27
13;13;30153;H020;1;2010-11-28
14;14;30153;H020;1;2010-11-28
15;15;30152;HH032;1;2010-11-28
16;16;30153;H020;1;2010-11-28
17;17;30153;H020;1;2010-11-28
18;18;30153;H20;1;2010-11-28
19;19;30152;HH032;0;2010-11-29
20;20;30152;H032;1;2010-11-29
21;21;30676;H018;1;2010-11-29
22;22;30152;H032;1;2010-11-29
23;23;30676;H018;1;2010-11-29
24;24;30152;HH032;1;2010-11-30
25;25;30676;H018;1;2010-11-30
26;26;30676;H018;1;2010-11-30
27;27;30153;H20;1;2010-11-30
28;28;30152;HH032;1;2010-11-30
29;29;30153;H20;1;2010-11-30
30;30;30152;HH032;1;2010-11-30
31;31;30153;H20;1;2010-11-30
32;32;30152;HH032;1;2010-12-01
33;33;30153;H20;1;2010-12-02
34;34;30152;HH032;1;2010-12-03
35;35;30152;HH032;1;2010-12-03
36;36;30780;H023;1;2010-12-03
37;37;30152;HH032;1;2010-12-04
38;38;30780;H023;1;2010-12-04
39;39;30153;H20;1;2010-12-05
40;40;30152;HH032;1;2010-12-05
41;41;30152;HH032;1;2010-12-06
42;42;30153;H20;1;2010-12-06
43;43;30152;HH032;1;2010-12-06
44;44;30780;H023;1;2010-12-07
45;45;30152;HH032;1;2010-12-07
46;46;30780;H023;1;2010-12-07
47;47;30780;H023;1;2010-12-07
48;48;30780;H023;1;2010-12-07
49;49;30152;HH032;1;2010-12-07
50;50;30152;HH032;1;2010-12-08
51;51;30152;HH032;1;2010-12-08
52;52;30707;J50;1;2010-12-08
53;53;30707;J50;1;2010-12-08
54;54;30152;HH032;1;2010-12-09
55;55;30152;HH032;1;2010-12-10
56;56;30152;HH032;1;2010-12-10
57;57;30157;H020;1;2010-12-11
58;58;30157;H020;1;2010-12-11
59;59;30152;HH032;1;2010-12-12
60;60;30157;H020;1;2010-12-12
61;61;30157;II021;0;2010-12-13
62;62;30157;II021;1;2010-12-13
63;63;30157;II021;1;2010-12-13
64;64;30707;J40;0;2010-12-13
65;65;30707;J40;1;2010-12-14
66;66;30157;II021;1;2010-12-14
67;67;30707;J41;1;2010-12-15
68;68;30157;II021;1;2010-12-15
69;69;30157;H020;1;2010-12-15
70;70;30157;H020;1;2010-12-15
71;71;30157;H020;1;2010-12-15
72;72;30157;H020;1;2010-12-16
73;73;30157;II021;1;2010-12-16
74;74;30157;H020;1;2010-12-16
75;75;30707;J40;1;2010-12-17
76;76;30157;H021;1;2010-12-17
77;77;30157;II021;1;2010-12-18
78;78;30157;H021;1;2010-12-18
79;79;30780;H023;1;2010-12-18
80;80;30157;H021;1;2010-12-18
81;81;30707;J40;1;2010-12-18
82;82;30707;J40;1;2010-12-18
83;83;30157;H021;1;2010-12-19
84;84;30707;J40;1;2010-12-20
85;85;30707;J40;1;2010-12-20
86;86;30707;J41;1;2010-12-20
87;87;30157;II021;1;2010-12-20
88;88;30157;II021;1;2010-12-20
89;89;30157;II021;1;2010-12-20
90;90;30157;II021;1;2010-12-21
91;91;30157;II021;0;2010-12-21
92;92;30157;II021;1;2010-12-21
93;93;30778;H012;1;2010-12-21
94;94;30157;II021;1;2010-12-21
95;95;30157;II021;1;2010-12-21
96;96;30778;H012;1;2010-12-21
97;97;30707;J40;1;2010-12-21
98;98;30707;J40;1;2010-12-22
99;99;30778;H012;1;2010-12-22
100;100;30157;II021;1;2010-12-22
101;101;30778;H012;1;2010-12-22
102;102;30707;J40;1;2010-12-22
103;103;30707;J40;1;2010-12-22
104;104;30778;H012;1;2010-12-23
105;105;30778;H012;1;2010-12-23
106;106;30778;H012;1;2010-12-23
