id,no_sapi,rpf,perilaku,ib_ke,jarak_ib,laktasi,ib,pkb,anggota_id,created_at,updated_at
1, /I/AJ,7,1,2,20,5,2014-04-25,2014-07-26,1178,2014-04-25 17:30:50.000000,2014-07-26 17:30:50.000000
2, /I/AN,7,5,2,70,3,2014-09-15,2014-12-16,1375,2014-09-15 17:30:50.000000,2014-12-16 17:30:50.000000
3, /I/AO,9,2,2,31,1,2014-11-24,2015-02-24,1290,2014-11-24 17:30:50.000000,2015-02-24 17:30:50.000000
4, /I/AP,2,5,3,18,1,2014-02-24,2014-05-27,494,2014-02-24 17:30:50.000000,2014-05-27 17:30:50.000000
5, /II/AH,8,2,2,33,1,2012-03-20,2012-06-20,1503,2012-03-20 17:30:50.000000,2012-06-20 17:30:50.000000
6, /II/AL,5,2,2,33,5,2012-10-24,2013-01-24,1230,2012-10-24 17:30:50.000000,2013-01-24 17:30:50.000000
7, /II/AL,7,2,2,33,5,2014-10-21,2015-01-21,1217,2014-10-21 17:30:50.000000,2015-01-21 17:30:50.000000
8, /II/AN,4,3,2,93,4,2012-05-11,2012-08-11,247,2012-05-11 17:30:50.000000,2012-08-11 17:30:50.000000
9, /II/AN,6,4,2,93,4,2014-03-02,2014-06-02,769,2014-03-02 17:30:50.000000,2014-06-02 17:30:50.000000
10, /II/AO,10,3,2,169,3,2015-03-26,2015-06-26,1483,2015-03-26 17:30:50.000000,2015-06-26 17:30:50.000000
11, /II/AO,5,2,2,169,4,2015-09-25,2015-12-26,732,2015-09-25 17:30:50.000000,2015-12-26 17:30:50.000000
12, /II/AO,7,3,2,19,5,2013-07-19,2013-10-19,1103,2013-07-19 17:30:50.000000,2013-10-19 17:30:50.000000
13, /II/AO,4,2,2,19,4,2014-07-18,2014-10-18,1177,2014-07-18 17:30:50.000000,2014-10-18 17:30:50.000000
14, /II/AO,10,1,2,19,3,2014-07-19,2014-10-19,1220,2014-07-19 17:30:50.000000,2014-10-19 17:30:50.000000
15, /II/AO,7,5,2,19,1,2014-11-15,2015-02-15,750,2014-11-15 17:30:50.000000,2015-02-15 17:30:50.000000
16, /II/AO,7,2,2,19,4,2015-02-13,2015-05-16,1349,2015-02-13 17:30:50.000000,2015-05-16 17:30:50.000000
17, /II/AO,2,2,2,19,1,2015-03-23,2015-06-23,1198,2015-03-23 17:30:50.000000,2015-06-23 17:30:50.000000
18, /II/AO,4,4,3,31,5,2014-12-30,2015-04-01,1251,2014-12-30 17:30:50.000000,2015-04-01 17:30:50.000000
19, /II/AO,4,3,3,31,5,2014-08-06,2014-11-06,732,2014-08-06 17:30:50.000000,2014-11-06 17:30:50.000000
20, /II/AO,3,3,3,31,2,2014-08-15,2014-11-15,1523,2014-08-15 17:30:50.000000,2014-11-15 17:30:50.000000
21, /II/AP,9,2,3,76,3,2014-10-20,2015-01-20,1138,2014-10-20 17:30:50.000000,2015-01-20 17:30:50.000000
22, /III/AK,7,4,2,93,5,2010-09-19,2010-12-20,1218,2010-09-19 17:30:50.000000,2010-12-20 17:30:50.000000
23, /III/AK,1,4,2,93,2,2010-09-04,2010-12-05,444,2010-09-04 17:30:50.000000,2010-12-05 17:30:50.000000
24, /III/AK,7,1,2,93,5,2014-01-14,2014-04-16,489,2014-01-14 17:30:50.000000,2014-04-16 17:30:50.000000
25, /III/AL,5,1,3,24,2,2011-10-15,2012-01-15,746,2011-10-15 17:30:50.000000,2012-01-15 17:30:50.000000
26, /III/AL,3,2,4,46,2,2011-12-19,2012-03-20,746,2011-12-19 17:30:50.000000,2012-03-20 17:30:50.000000
27, /III/AL,6,1,4,46,3,2014-02-26,2014-05-29,731,2014-02-26 17:30:50.000000,2014-05-29 17:30:50.000000
28, /III/AL,8,1,2,46,1,2010-09-19,2010-12-20,1212,2010-09-19 17:30:50.000000,2010-12-20 17:30:50.000000
29, /III/AL,2,3,2,46,1,2011-07-19,2011-10-19,743,2011-07-19 17:30:50.000000,2011-10-19 17:30:50.000000
