id;namawilayah;created_at;updated_at
1;ANDONG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
2;ARJOSARI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
3;BABAL;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
4;BANYUSARI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
5;BEKOTONG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
6;BENDORO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
7;BESUKI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
8;BLARANG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
9;CAMPAL;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
10;CEMORO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
11;CIKUR;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
12;CURAH BUNTUNG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
13;DEMPOK;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
14;DODOGAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
15;DOMPYONG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
16;DUKUTAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
17;GUNUNG PETUNG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
18;GUNUNG SARI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
19;JAJANG DUWUR;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
20;JELAG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
21;KADIPATEN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
22;KEMANGI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
23;KETAYU;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
24;KOPEK;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
25;KRAJAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
26;KUMBO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
27;KUNTUL;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
28;LEDOK;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
29;MANGGUNGAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
30;MUCANGAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
31;NGARUH;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
32;NGEMBAL;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
33;PULAKDULANG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
34;PANCUT;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
35;PRONOJIWO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
36;PULO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
37;PUROJATI;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
38;RAMELA;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
39;RENGKO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
40;SONOKUNING;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
41;SAWAH TALUN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
42;SEMBUNG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
43;SIWIL;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
44;SLOROK;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
45;SUGRO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
46;SUMBERPITU;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
47;TANJUNG WONO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
48;TAMAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
49;TEMPURAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
50;TUBAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
51;TUTUR WETAN;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
52;WADANG;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
53;WONOKERSO;2019-07-22 17:30:50.000000;2019-07-22 17:30:50.000000
